-21.84 	-22.92 	-28.2
-22.14 	-23.16 	-28.08
-22.02 	-22.98 	-28.44
-22.2 	-22.98 	-28.56
-22.02 	-22.86 	-28.44
-22.14 	-22.8 	-28.44
-21.96 	-22.62 	-28.56
-19.5 	-20.94 	-20.4
-19.62 	-21.12 	-21.3
-19.68 	-21.42 	-22.08
-19.86 	-21.48 	-23.28
-20.04 	-21.66 	-24.12
-20.04 	-21.78 	-24.96
-20.22 	-21.96 	-25.8
-20.34 	-22.02 	-26.7
-20.34 	-22.14 	-27.78
-20.16 	-22.02 	-27.96
-20.82 	-21.96 	-27.24
-20.34 	-21.78 	-25.62
-19.8 	-22.08 	-25.2
-20.16 	-22.26 	-25.32
-20.28 	-22.26 	-25.44
-20.28 	-22.26 	-25.26
-20.28 	-22.32 	-25.38
-20.64 	-22.44 	-25.26
-20.04 	-22.26 	-26.4
-20.52 	-22.44 	-27.9
-21.12 	-22.02 	-28.56
-20.88 	-21.84 	-28.56
-20.76 	-22.08 	-28.44
-20.94 	-22.08 	-28.68
-21.24 	-21.96 	-28.5
-21.06 	-21.96 	-28.44
-21.06 	-22.32 	-28.38
-20.94 	-22.32 	-28.26
-20.7 	-22.44 	-28.38
-21.36 	-22.14 	-26.76
-22.08 	-22.08 	-24.6
-22.08 	-22.08 	-24.48
-21.96 	-22.32 	-24.6
-21.96 	-22.14 	-24.66
-22.08 	-22.14 	-24.6
-22.08 	-22.08 	-24.84
-22.32 	-22.08 	-24.9
-21.78 	-22.44 	-26.58
-20.94 	-22.14 	-29.04
-20.7 	-22.26 	-29.22
-20.7 	-22.14 	-28.98
-20.58 	-22.32 	-29.04
-20.52 	-22.2 	-28.98
-20.4 	-22.38 	-28.8
-20.34 	-22.62 	-28.68
